ext	type
.ez	application/andrew-inset
.atom	application/atom+xml
.atomcat	application/atomcat+xml
.atomdeleted	application/atomdeleted+xml
.atomsvc	application/atomsvc+xml
.dwd	application/atsc-dwd+xml
.held	application/atsc-held+xml
.rsat	application/atsc-rsat+xml
.aml	application/automationml-aml+xml
.amlx	application/automationml-amlx+zip
.xcs	application/calendar+xml
.ccxml	application/ccxml+xml
.cdfx	application/cdfx+xml
.cdmia	application/cdmi-capability
.cdmic	application/cdmi-container
.cdmid	application/cdmi-domain
.cdmio	application/cdmi-object
.cdmiq	application/cdmi-queue
.cpl	application/cpl+xml
.cwl	application/cwl
.mpd	application/dash+xml
.mpp	application/dash-patch+xml
.davmount	application/davmount+xml
.dcm	application/dicom
.dssc	application/dssc+der
.xdssc	application/dssc+xml
.emma	application/emma+xml
.emotionml	application/emotionml+xml
.epub	application/epub+zip
.exi	application/exi
.exp	application/express
.fdf	application/fdf
.fdt	application/fdt+xml
.pfr	application/font-tdpfr
.geojson	application/geo+json
.gml	application/gml+xml
.gz	application/gzip
.stk	application/hyperstudio
.ink	application/inkml+xml
.ipfix	application/ipfix
.its	application/its+xml
.jar	application/java-archive
.json	application/json
.kbl	application/kbl+xml
.jsonld	application/ld+json
.lgr	application/lgr+xml
.lostxml	application/lost+xml
.hqx	application/mac-binhex40
.mads	application/mads+xml
.webmanifest	application/manifest+json
.mrc	application/marc
.mrcx	application/marcxml+xml
.ma	application/mathematica
.mathml	application/mathml+xml
.mbox	application/mbox
.mpf	application/media-policy-dataset+xml
.mscml	application/mediaservercontrol+xml
.meta4	application/metalink4+xml
.mets	application/mets+xml
.maei	application/mmt-aei+xml
.musd	application/mmt-usd+xml
.mods	application/mods+xml
.m21	application/mp21
.mp4	application/mp4
.doc	application/msword
.mxf	application/mxf
.nq	application/n-quads
.nt	application/n-triples
.cjs	application/node
.bin	application/octet-stream
.oda	application/oda
.opf	application/oebps-package+xml
.ogx	application/ogg
.oxps	application/oxps
.relo	application/p2p-overlay+xml
.xer	application/patch-ops-error+xml
.pdf	application/pdf
.pgp	application/pgp-encrypted
.asc	application/pgp-keys
.sig	application/pgp-signature
.p10	application/pkcs10
.p7m	application/pkcs7-mime
